Normalized Name,Product Name,Item Number,paxCode,related pax code,label,match_status,lookup_score,lookup_bandai_slug
armored_core_vi_fires_of_rubicon,ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,PAX0013073340,,Armored Core VI: Fires Of Rubicon,matched,,
armored_core_vi_fires_of_rubicon_deluxe,ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,PAX0013069260,,Armored Core VI: Fires Of Rubicon (Deluxe Edition),matched,,
baten_kaitos_i_ii_hd_remaster,Baten Kaitos I & II HD Remaster,E06117,PAX0014235936,,Baten Kaitos I & II HD Remaster,matched,,
black_clover_quartet_knights,BLACK CLOVER: QUARTET KNIGHTS,E02895,PAX0009950542,,Black Clover: Quartet Knights,matched,,
black_clover_quartet_knights_deluxe,BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,PAX0009950610,,Black Clover: Quartet Knights (Deluxe Edition),matched,,
bleach_rebirth_of_souls,BLEACH Rebirth of Souls,E06132,PAX0014038022,,Bleach Rebirth of Souls,matched,,
captain_tsubasa_rise_of_new_champions,Captain Tsubasa: Rise of New Champions,E03350,PAX0010849876,,Captain Tsubasa: Rise of New Champions,matched,,
captain_tsubasa_rise_of_new_champions_deluxe,Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,PAX0010849944,,Captain Tsubasa: Rise of New Champions (Deluxe Edition),matched,,
captain_tsubasa_rise_of_new_champions_ultimate,Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,PAX0014008034,,Captain Tsubasa: Rise of New Champions (Ultimate Edition),matched,,
code_vein,CODE VEIN,E03009,PAX0010324338,,Code Vein,matched,,
code_vein_deluxe,CODE VEIN Deluxe Edition,E03483,PAX0010361296,,Code Vein (Deluxe Edition),matched,,
code_vein_ii,CODE VEIN II,L00239,PAX0014842054,,Code Vein II,matched,,
code_vein_ii_deluxe,CODE VEIN II Deluxe Edition,L00240,PAX0015167434,,Code Vein II (Deluxe Edition),matched,,
code_vein_ii_ultimate,CODE VEIN II Ultimate Edition,L00241,PAX0015167570,,Code Vein II (Ultimate Edition),matched,,
dark_souls_ii_scholar_of_the_first_sin,DARK SOULS™ II: Scholar of the First Sin,E01927,PAX0006971122,,Dark Souls II: Scholar of the First Sin,matched,,
dark_souls_iii,DARK SOULS III,E01572,PAX0007785082,,Dark Souls III,matched,,
dark_souls_iii_deluxe,DARK SOULS III Deluxe Edition,E02323,PAX0009513030,,Dark Souls III (Deluxe Edition),matched,,
dark_souls_iii_season_pass,DARK SOULS III - Season Pass,E01893,PAX0007947534,,Dark Souls III: Season Pass (DLC),matched,,
dark_souls_remastered,DARK SOULS: REMASTERED,E02716,PAX0009575522,,Dark Souls: Remastered,matched,,
digimon_story_cyber_sleuth_complete,Digimon Story Cyber Sleuth: Complete Edition,E05368,PAX0010995022,,Digimon Story Cyber Sleuth (Complete Edition),matched,,
digimon_story_time_stranger,Digimon Story Time Stranger,E03053,PAX0014830086,,Digimon Story Time Stranger,matched,,
digimon_story_time_stranger_deluxe,Digimon Story Time Stranger Deluxe Edition,L00115,PAX0014928822,,Digimon Story Time Stranger (Deluxe Edition),matched,,
digimon_story_time_stranger_ultimate,Digimon Story Time Stranger Ultimate Edition,L00116,PAX0014928856,,Digimon Story Time Stranger (Ultimate Edition),matched,,
digimon_survive,Digimon Survive,E05471,PAX0012413910,,Digimon Survive,matched,,
digimon_world_next_order,Digimon World: Next Order,E04521,PAX0012723344,,Digimon World: Next Order,matched,,
doraemon_story_of_seasons,DORAEMON STORY OF SEASONS,E03496,PAX0010731760,,Doraemon Story of Seasons,matched,,
doraemon_story_of_seasons_friends_of_the_great_kingdom,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,PAX0012561776,,Doraemon Story of Seasons: Friends of the Great Kingdom,matched,,
dragon_ball_fighterz,DRAGON BALL FighterZ,E02533,PAX0009332320,,Dragon Ball FighterZ,matched,,
dragon_ball_fighterz_fighterz,DRAGON BALL FighterZ - FighterZ Edition,E02595,PAX0009410826,,Dragon Ball FighterZ (FighterZ Edition),matched,,
dragon_ball_fighterz_legendary,DRAGON BALL FighterZ - Legendary Edition,E02596,PAX0013747526,,Dragon Ball FighterZ (Legendary Edition),matched,,
dragon_ball_sparking_zero,DRAGON BALL: Sparking! ZERO,E06127,PAX0013753680,,Dragon Ball: Sparking! Zero,matched,,
dragon_ball_sparking_zero_deluxe,DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,PAX0013795602,,Dragon Ball: Sparking! Zero (Deluxe Edition),matched,,
dragon_ball_sparking_zero_ultimate,DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,PAX0014117378,,Dragon Ball: Sparking! Zero (Ultimate Edition),matched,,
dragon_ball_the_breakers,DRAGON BALL: THE BREAKERS,E05011,PAX0012529510,,Dragon Ball: The Breakers,matched,,
dragon_ball_the_breakers_special,DRAGON BALL: THE BREAKERS Special Edition,E05644,PAX0012527878,,Dragon Ball: The Breakers (Special Edition),matched,,
dragon_ball_xenoverse_2,DRAGON BALL XENOVERSE 2,E02035,PAX0008452536,,Dragon Ball: Xenoverse 2,matched,,
dragon_ball_xenoverse_2_deluxe,DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,PAX0012760472,,Dragon Ball: Xenoverse 2 (Deluxe Edition),matched,,
dragon_ball_z_kakarot,DRAGON BALL Z: KAKAROT,E03005,PAX0010474210,,Dragon Ball Z: Kakarot,matched,,
dragon_ball_z_kakarot_daima,DRAGON BALL Z: KAKAROT - DAIMA EDITION,L00113,PAX0015502742,,Dragon Ball Z: Kakarot (Daima Edition),matched,,
dragon_ball_z_kakarot_deluxe,DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,PAX0010489986,,Dragon Ball Z: Kakarot (Deluxe Edition),matched,,
dragon_ball_z_kakarot_legendary,DRAGON BALL Z: KAKAROT Legendary Edition,E06163,PAX0012673398,,Dragon Ball Z: Kakarot (Legendary Edition),matched,,
everybody_s_golf_hot_shots,EVERYBODY'S GOLF HOT SHOTS,L00036,PAX0014836172,,Everybody's Golf Hot Shots,matched,,
freedom_wars_remastered,FREEDOM WARS Remastered,E06517,PAX0014175688,,Freedom Wars Remastered,matched,,
god_eater_2_rage_burst,GOD EATER 2 Rage Burst,E05369,PAX0009309268,,God Eater 2: Rage Burst,matched,,
god_eater_3,GOD EATER 3,E03177,PAX0009956560,,God Eater 3,matched,,
gundam_breaker_4,GUNDAM BREAKER 4,E04524,PAX0013798832,,Gundam Breaker 4,matched,,
gundam_breaker_4_deluxe,GUNDAM BREAKER 4 Deluxe Edition,E06529,PAX0013986614,,Gundam Breaker 4 (Deluxe Edition),matched,,
gundam_breaker_4_ultimate,GUNDAM BREAKER 4 Ultimate Edition,E06530,PAX0013986716,,Gundam Breaker 4 (Ultimate Edition),matched,,
hack_g_u_last_recode,.hack//G.U. Last Recode,E05367,PAX0011204972,,.Hack//G.U. Last Recode,matched,,
jojo_s_bizarre_adventure_all_star_battle_r,JoJo's Bizarre Adventure: All-Star Battle R,E03528,PAX0012435840,,Jojo's Bizarre Adventure: All-Star Battle R,matched,,
jojo_s_bizarre_adventure_all_star_battle_r_deluxe,JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,PAX0013153750,,Jojo's Bizarre Adventure: All-Star Battle R (Deluxe Edition),matched,,
jojo_s_bizarre_adventure_all_star_battle_r_ultimate,JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,E06307,PAX0013456282,,Jojo's Bizarre Adventure: All-Star Battle R (Ultimate Edition),matched,,
jujutsu_kaisen_cursed_clash,Jujutsu Kaisen Cursed Clash,E05703,PAX0013412422,,Jujutsu Kaisen Cursed Clash,matched,,
jujutsu_kaisen_cursed_clash_deluxe,Jujutsu Kaisen Cursed Clash Deluxe Edition,E06213,PAX0014089430,,Jujutsu Kaisen Cursed Clash (Deluxe Edition),matched,,
jujutsu_kaisen_cursed_clash_ultimate,Jujutsu Kaisen Cursed Clash Ultimate Edition,E06212,PAX0013436800,,Jujutsu Kaisen Cursed Clash (Ultimate Edition),matched,,
klonoa_phantasy_reverie_series,Klonoa Phantasy Reverie Series,E04522,PAX0012403812,,Klonoa Phantasy Reverie Series,matched,,
little_nightmares_iii,Little Nightmares III,E05707,PAX0013475322,,Little Nightmares III,matched,,
little_nightmares_iii_deluxe,Little Nightmares III Deluxe Edition,L00119,PAX0015081176,,Little Nightmares III (Deluxe Edition),matched,,
mobile_suit_gundam_seed_battle_destiny_remastered,MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,E06942,PAX0014731554,,Mobile Suit Gundam Seed Battle Destiny Remastered,matched,,
naruto_shippuden_ultimate_ninja_storm_2,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,E05373,PAX0010567030,,Naruto Shippuden: Ultimate Ninja Storm 2,matched,,
naruto_shippuden_ultimate_ninja_storm_4,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,PAX0007774372,,Naruto Shippuden: Ultimate Ninja Storm 4,matched,,
naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,PAX0009671674,,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,matched,,
naruto_shippuden_ultimate_ninja_storm_legacy,NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,PAX0010114966,,Naruto Shippuden: Ultimate Ninja Storm Legacy,matched,,
naruto_shippuden_ultimate_ninja_storm_trilogy,NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,PAX0009772144,,Naruto Shippuden: Ultimate Ninja Storm Trilogy,matched,,
naruto_to_boruto_shinobi_striker,NARUTO TO BORUTO: SHINOBI STRIKER,E02855,PAX0009688844,,Naruto to Boruto: Shinobi Striker,matched,,
naruto_to_boruto_shinobi_striker_deluxe,NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,E02942,PAX0009966964,,Naruto to Boruto: Shinobi Striker (Deluxe Edition),matched,,
naruto_ultimate_ninja_storm,NARUTO: Ultimate Ninja STORM,E05386,PAX0010567064,,Naruto: Ultimate Ninja Storm,matched,,
naruto_x_boruto_ultimate_ninja_storm_connections,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,E03049,PAX0013555324,,Naruto X Boruto Ultimate Ninja Storm Connections,matched,,
new_gundam_breaker,New Gundam Breaker,E02758,PAX0009974784,,New Gundam Breaker,matched,,
once_upon_a_katamari,Once Upon A KATAMARI,E06970,PAX0014976150,,Once Upon A Katamari,matched,,
one_piece_burning_blood,ONE PIECE BURNING BLOOD,E01970,PAX0009056410,,One Piece Burning Blood,matched,,
one_piece_burning_blood_gold,ONE PIECE BURNING BLOOD GOLD Edition,E05642,PAX0010475706,,One Piece: Burning Blood (Gold Edition),matched,,
one_piece_odyssey,ONE PIECE ODYSSEY,E05083,PAX0012652998,,One Piece Odyssey,matched,,
one_piece_odyssey_deluxe,ONE PIECE ODYSSEY Deluxe Edition,E05788,PAX0012673432,,One Piece Odyssey (Deluxe Edition),matched,,
one_piece_pirate_warriors_4,ONE PIECE: PIRATE WARRIORS 4,E02973,PAX0010605960,,One Piece: Pirate Warriors 4,matched,,
one_piece_pirate_warriors_4_deluxe,ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,E03825,PAX0010640946,,One Piece: Pirate Warriors 4 (Deluxe Edition),matched,,
one_piece_world_seeker,ONE PIECE WORLD SEEKER,E03295,PAX0009975226,,One Piece: World Seeker,matched,,
one_piece_world_seeker_deluxe,ONE PIECE WORLD SEEKER Deluxe Edition,E03367,PAX0010423108,,One Piece: World Seeker (Deluxe Edition),matched,,
one_punch_man_a_hero_nobody_knows,ONE PUNCH MAN: A HERO NOBODY KNOWS,E02997,PAX0010593278,,One Punch Man: A Hero Nobody Knows,matched,,
pac_man_mega_tunnel_battle_chomp_champs,PAC-MAN Mega Tunnel Battle: Chomp Champs,E06649,PAX0013651816,,Pac-Man Mega Tunnel Battle: Chomp Champs,matched,,
pac_man_world_2_re_pac,PAC-MAN WORLD 2 Re-PAC,E06971,PAX0014976422,,Pac-Man World 2 Re-Pac,matched,,
park_beyond,Park Beyond,E04538,PAX0012897084,,Park Beyond,matched,,
patapon_1_2_replay,PATAPON 1+2 REPLAY,E06134,PAX0014894210,,Patapon 1+2 Replay,matched,,
sand_land,SAND LAND,E06114,PAX0013449516,,Sand Land,matched,,
scarlet_nexus,SCARLET NEXUS,E03557,PAX0011642280,,Scarlet Nexus,matched,,
scarlet_nexus_deluxe,SCARLET NEXUS Deluxe,E04727,PAX0011642246,,Scarlet Nexus (Deluxe Edition),matched,,
sd_gundam_battle_alliance,SD GUNDAM BATTLE ALLIANCE,E03559,PAX0012417582,,SD Gundam Battle Alliance,matched,,
sd_gundam_g_generation_cross_rays,SD GUNDAM G GENERATION CROSS RAYS,E02985,PAX0011539804,,SD Gundam G Generation Cross Rays,matched,,
shadow_labyrinth,Shadow Labyrinth,E06972,PAX0014732166,,Shadow Labyrinth,matched,,
soulcalibur_vi,SOULCALIBUR VI,E02875,PAX0009799344,,Soulcalibur VI,matched,,
soulcalibur_vi_deluxe,SOULCALIBUR VI Deluxe Edition,E03123,PAX0009799650,,Soulcalibur VI (Deluxe Edition),matched,,
super_robot_wars_30,Super Robot Wars 30,E04508,PAX0011886978,,Super Robot Wars 30,matched,,
super_robot_wars_30_deluxe,Super Robot Wars 30 Digital Deluxe Edition,E05097,PAX0011923630,,Super Robot Wars 30 (Deluxe Edition),matched,,
super_robot_wars_30_ultimate,Super Robot Wars 30 Ultimate Edition,E05098,PAX0011934816,,Super Robot Wars 30 (Ultimate Edition),matched,,
super_robot_wars_x,SUPER ROBOT WARS X,E03632,PAX0011599848,,Super Robot Wars X,matched,,
super_robot_wars_y,SUPER ROBOT WARS Y,L00033,PAX0014733764,,Super Robot Wars Y,matched,,
super_robot_wars_y_deluxe,SUPER ROBOT WARS Y Deluxe Edition,L00034,PAX0014929502,,Super Robot Wars Y (Deluxe Edition),matched,,
super_robot_wars_y_ultimate,SUPER ROBOT WARS Y Ultimate Edition,L00035,PAX0014929434,,Super Robot Wars Y (Ultimate Edition),matched,,
sword_art_online_alicization_lycoris,SWORD ART ONLINE Alicization Lycoris,E03060,PAX0010781400,,Sword Art Online: Alicization Lycoris,matched,,
sword_art_online_alicization_lycoris_deluxe,SWORD ART ONLINE Alicization Lycoris Deluxe Edition,E03954,PAX0010797788,,Sword Art Online: Alicization Lycoris (Deluxe Edition),matched,,
sword_art_online_fatal_bullet,Sword Art Online: Fatal Bullet,E02540,PAX0009455468,,Sword Art Online: Fatal Bullet,matched,,
sword_art_online_fatal_bullet_complete,Sword Art Online: Fatal Bullet - Complete Edition,E03322,PAX0009957376,,Sword Art Online: Fatal Bullet (Complete Edition),matched,,
sword_art_online_fractured_daydream,SWORD ART ONLINE Fractured Daydream,E06120,PAX0013976312,,Sword Art Online: Fractured Daydream,matched,,
sword_art_online_hollow_realization_deluxe,Sword Art Online: Hollow Realization Deluxe Edition,E02310,PAX0009348402,,Sword Art Online: Hollow Realization (Deluxe Edition),matched,,
sword_art_online_last_recollection,SWORD ART ONLINE Last Recollection,E05687,PAX0013159190,,Sword Art Online: Last Recollection,matched,,
sword_art_online_last_recollection_deluxe,SWORD ART ONLINE Last Recollection Deluxe Edition,E06096,PAX0014008374,,Sword Art Online: Last Recollection (Deluxe Edition),matched,,
sword_art_online_lost_song,Sword Art Online: Lost Song,E05372,PAX0010120168,,Sword Art Online: Lost Song,matched,,
synduality_echo_of_ada,SYNDUALITY Echo of Ada,E05693,PAX0014079774,,Synduality: Echo of Ada,matched,,
synduality_echo_of_ada_deluxe,SYNDUALITY Echo of Ada Deluxe Edition,E06636,PAX0015630684,,Synduality: Echo of Ada (Deluxe Edition),matched,,
tales_of_arise,Tales of Arise,E03024,PAX0011827716,,Tales of Arise,matched,,
tales_of_arise_beyond_the_dawn_expansion,Tales of Arise - Beyond the Dawn Expansion,E06168,PAX0013555222,,Tales of Arise - Beyond the Dawn Expansion (DLC),matched,,
tales_of_berseria,Tales of Berseria,E02174,PAX0008665002,,Tales of Berseria,matched,,
tales_of_berseria_remastered,Tales of Berseria Remastered,L00438,PAX0015323358,,Tales of Berseria Remastered,matched,,
tales_of_graces_f_remastered,Tales of Graces f Remastered,E06381,PAX0014183542,,Tales of Graces f Remastered,matched,,
tales_of_vesperia_definitive,Tales of Vesperia: Definitive Edition,E03191,PAX0010367280,,Tales of Vesperia (Definitive Edition),matched,,
tales_of_xillia_remastered,Tales of Xillia Remastered,E06124,PAX0015083964,,Tales of Xillia Remastered,matched,,
tales_of_xillia_remastered_deluxe,Tales of Xillia Remastered Deluxe Edition,L00231,PAX0015249510,,Tales of Xillia Remastered (Deluxe Edition),matched,,
tales_of_zestiria,Tales of Zestiria,E01607,PAX0008665036,,Tales of Zestiria,matched,,
tekken_7,TEKKEN 7,E02278,PAX0008666974,,Tekken 7,matched,,
tekken_7_originals,TEKKEN 7 - Originals Edition,E05647,PAX0012530020,,Tekken 7 (Originals Edition),matched,,
tekken_8,TEKKEN 8,E05700,PAX0013411368,,Tekken 8,matched,,
tekken_8_deluxe,TEKKEN 8 Deluxe Edition,E06226,PAX0013419936,,Tekken 8 (Deluxe Edition),matched,,
tekken_8_ultimate,TEKKEN 8 - Ultimate Edition,E06227,PAX0013420038,,Tekken 8 (Ultimate Edition),matched,,
that_time_i_got_reincarnated_as_a_slime_isekai_chronicles,That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,PAX0013924904,,That Time I Got Reincarnated as a Slime Isekai Chronicles,matched,,
towa_and_the_guardians_of_the_sacred_tree,Towa and the Guardians of the Sacred Tree,E06936,PAX0014842190,,Towa And The Guardians Of The Sacred Tree,matched,,
we_love_katamari_reroll_royal_reverie,We Love Katamari REROLL+ Royal Reverie,E05071,PAX0012872162,,We Love Katamari Reroll + Royal Reverie,matched,,
everybody_s_golf_hotshots,Everybody's Golf: Hotshots,L00036,,PAX0014836172,Everybody's Golf Hot Shots,similarity_match,0.98,everybody_s_golf_hot_shots
god_eaters_3,God Eaters 3,E03177,,PAX0009956560,God Eater 3,similarity_match,0.957,god_eater_3
sd_gundam_g_generation_cross_ray,SD GUNDAM G GENERATION CROSS RAY,E02985,,PAX0011539804,SD Gundam G Generation Cross Rays,similarity_match,0.985,sd_gundam_g_generation_cross_rays
spy_anya_operation_memories,SPY×ANYA: Operation Memories,E05697,PAX0013837558,,Spy x Anya: Operation Memories,similarity_match,0.964,spy_x_anya_operation_memories
